X,Y,Spell,mask
-0.5,-0.5,-5,-1
-0.5,-1,-5,-1
-0.5,-1.5,-5,-1
-0.5,-10,-5,-1
-0.5,-10.5,-5,-1
-0.5,-11,-5,-1
-0.5,-11.5,-5,-1
-0.5,-12,-5,-1
-0.5,-12.5,-5,-1
-0.5,-13,-5,-1
-0.5,-13.5,-5,-1
-0.5,-14,-5,-1
-0.5,-14.5,-5,-1
-0.5,-15,-5,-1
-0.5,-15.5,-5,-1
-0.5,-16,-5,-1
-0.5,-16.5,-5,-1
-0.5,-17,-5,-1
-0.5,-17.5,-5,-1
-0.5,-18,-5,-1
-0.5,-18.5,-5,-1
-0.5,-19,-5,-1
-0.5,-19.5,-5,-1
-0.5,-2,-5,-1
-0.5,-2.5,-5,-1
-0.5,-20,-5,-1
-0.5,-20.5,-5,-1
-0.5,-21,-5,-1
-0.5,-21.5,-5,-1
-0.5,-22,-5,-1
-0.5,-22.5,-5,-1
-0.5,-23,-5,-1
-0.5,-23.5,-5,-1
-0.5,-24,-5,-1
-0.5,-24.5,-5,-1
-0.5,-25,-5,-1
-0.5,-25.5,-5,-1
-0.5,-26,-5,-1
-0.5,-26.5,-5,-1
-0.5,-27,-5,-1
-0.5,-27.5,-5,-1
-0.5,-28,-5,-1
-0.5,-28.5,-5,-1
-0.5,-29,-5,-1
-0.5,-29.5,-5,-1
-0.5,-3,-5,-1
-0.5,-3.5,-5,-1
-0.5,-30,-5,-1
-0.5,-30.5,-5,-1
-0.5,-31,31,1
-0.5,-31.5,31,1
-0.5,-32,31,1
-0.5,-32.5,31,1
-0.5,-33,31,1
-0.5,-33.5,31,1
-0.5,-34,31,1
-0.5,-34.5,31,1
-0.5,-35,31,1
-0.5,-35.5,31,1
-0.5,-36,31,1
-0.5,-36.5,31,1
-0.5,-37,31,1
-0.5,-37.5,31,1
-0.5,-38,31,1
-0.5,-38.5,31,1
-0.5,-39,31,1
-0.5,-39.5,31,1
-0.5,-4,-5,-1
-0.5,-4.5,-5,-1
-0.5,-40,31,1
-0.5,-5,-5,-1
-0.5,-5.5,-5,-1
-0.5,-6,-5,-1
-0.5,-6.5,-5,-1
-0.5,-7,-5,-1
-0.5,-7.5,-5,-1
-0.5,-8,-5,-1
-0.5,-8.5,-5,-1
-0.5,-9,-5,-1
-0.5,-9.5,-5,-1
-0.5,0,-5,-1
-0.5,0.5,-5,-1
-0.5,1,-5,-1
-0.5,1.5,-5,-1
-0.5,10,2,1
-0.5,10.5,2,1
-0.5,11,2,1
-0.5,11.5,2,1
-0.5,12,2,1
-0.5,12.5,2,1
-0.5,13,2,1
-0.5,13.5,2,1
-0.5,14,2,1
-0.5,14.5,2,1
-0.5,15,2,1
-0.5,15.5,2,1
-0.5,16,2,1
-0.5,16.5,2,1
-0.5,17,2,1
-0.5,17.5,3,1
-0.5,18,5,1
-0.5,18.5,5,1
-0.5,19,5,1
-0.5,19.5,-5,-1
-0.5,2,31,1
-0.5,2.5,31,1
-0.5,20,-5,-1
-0.5,20.5,-5,-1
-0.5,21,-5,-1
-0.5,21.5,-5,-1
-0.5,22,-5,-1
-0.5,22.5,-5,-1
-0.5,23,-5,-1
-0.5,23.5,-5,-1
-0.5,24,-5,-1
-0.5,24.5,-5,-1
-0.5,25,-5,-1
-0.5,25.5,-5,-1
-0.5,26,-5,-1
-0.5,26.5,-5,-1
-0.5,27,-5,-1
-0.5,27.5,-5,-1
-0.5,28,-5,-1
-0.5,28.5,-5,-1
-0.5,29,-5,-1
-0.5,29.5,-5,-1
-0.5,3,31,1
-0.5,3.5,31,1
-0.5,30,-5,-1
-0.5,30.5,-5,-1
-0.5,31,-5,-1
-0.5,31.5,-5,-1
-0.5,32,-5,-1
-0.5,32.5,-5,-1
-0.5,33,-5,-1
-0.5,33.5,-5,-1
-0.5,34,-5,-1
-0.5,34.5,-5,-1
-0.5,35,-5,-1
-0.5,35.5,-5,-1
-0.5,36,-5,-1
-0.5,36.5,-5,-1
-0.5,37,-5,-1
-0.5,37.5,-5,-1
-0.5,38,-5,-1
-0.5,38.5,-5,-1
-0.5,39,-5,-1
-0.5,39.5,-5,-1
-0.5,4,31,1
-0.5,4.5,31,1
-0.5,40,-5,-1
-0.5,5,2,1
-0.5,5.5,1,1
-0.5,6,1,1
-0.5,6.5,1,1
-0.5,7,1,1
-0.5,7.5,1,1
-0.5,8,1,1
-0.5,8.5,2,1
-0.5,9,2,1
-0.5,9.5,2,1
-1,-0.5,-5,-1
-1,-1,-5,-1
-1,-1.5,-5,-1
-1,-10,-5,-1
-1,-10.5,-5,-1
-1,-11,-5,-1
-1,-11.5,-5,-1
-1,-12,-5,-1
-1,-12.5,-5,-1
-1,-13,-5,-1
-1,-13.5,-5,-1
-1,-14,-5,-1
-1,-14.5,-5,-1
-1,-15,-5,-1
-1,-15.5,-5,-1
-1,-16,-5,-1
-1,-16.5,-5,-1
-1,-17,-5,-1
-1,-17.5,-5,-1
-1,-18,-5,-1
-1,-18.5,-5,-1
-1,-19,-5,-1
-1,-19.5,-5,-1
